0.0145,-0.2568
-0.0054,-0.2725
-0.0252,-0.2885
-0.0252,-0.2885
-0.0755,-0.3300
-0.1287,-0.3307
-0.1287,-0.3307
-0.1819,-0.3314
-0.2145,-0.2930
-0.2145,-0.2930
-0.2470,-0.2530
-0.2433,-0.2057
-0.2433,-0.2057
-0.2396,-0.1583
-0.1967,-0.1199
-0.1967,-0.1199
-0.1827,-0.1079
-0.1688,-0.0958
-0.1688,-0.0958
-0.1782,-0.0836
-0.1902,-0.0675
-0.1902,-0.0675
-0.2022,-0.0514
-0.2156,-0.0326
-0.2156,-0.0326
-0.2291,-0.0139
-0.2425,0.0061
-0.2425,0.0061
-0.2560,0.0261
-0.2682,0.0461
-0.2682,0.0461
-0.2865,0.0305
-0.3047,0.0147
-0.3047,0.0147
-0.3491,-0.0207
-0.3794,-0.0696
-0.3794,-0.0696
-0.4097,-0.1184
-0.4201,-0.1724
-0.4201,-0.1724
-0.4305,-0.2264
-0.4179,-0.2841
-0.4179,-0.2841
-0.4053,-0.3418
-0.3624,-0.3965
-0.3624,-0.3965
-0.3225,-0.4498
-0.2633,-0.4734
-0.2633,-0.4734
-0.2041,-0.4971
-0.1427,-0.4986
-0.1427,-0.4986
-0.0813,-0.5000
-0.0244,-0.4831
-0.0244,-0.4831
0.0326,-0.4660
0.0696,-0.4394
0.0696,-0.4394
0.0946,-0.4198
0.1194,-0.4000
0.1194,-0.4000
0.1471,-0.3765
0.1757,-0.3513
0.1757,-0.3513
0.2043,-0.3261
0.2276,-0.3054
0.2276,-0.3054
0.2512,-0.2842
0.2648,-0.2722
0.2648,-0.2722
0.3451,-0.1976
0.4253,-0.1228
0.4253,-0.1228
0.3677,-0.0599
0.3100,0.0029
0.3100,0.0029
0.3098,0.0028
0.3042,-0.0024
0.3042,-0.0024
0.2987,-0.0076
0.2890,-0.0165
0.2890,-0.0165
0.2794,-0.0254
0.2671,-0.0368
0.2671,-0.0368
0.2548,-0.0481
0.2413,-0.0605
0.2413,-0.0605
0.2279,-0.0730
0.2146,-0.0851
0.2146,-0.0851
0.2013,-0.0973
0.1897,-0.1079
0.1897,-0.1079
0.1781,-0.1185
0.1695,-0.1262
0.1695,-0.1262
0.1610,-0.1339
0.1569,-0.1373
0.1569,-0.1373
0.1528,-0.1407
0.1447,-0.1475
0.1447,-0.1475
0.1366,-0.1543
0.1257,-0.1634
0.1257,-0.1634
0.1149,-0.1725
0.1026,-0.1829
0.1026,-0.1829
0.0903,-0.1932
0.0778,-0.2037
0.0778,-0.2037
0.0653,-0.2141
0.0540,-0.2236
0.0540,-0.2236
0.0427,-0.2331
0.0338,-0.2406
0.0338,-0.2406
0.0249,-0.2480
0.0198,-0.2524
0.0198,-0.2524
0.0147,-0.2567
0.0145,-0.2568
-0.1235,-0.0770
-0.1090,-0.0954
-0.0901,-0.1189
-0.0901,-0.1189
-0.0711,-0.1424
-0.0529,-0.1647
-0.0529,-0.1647
-0.0347,-0.1869
-0.0227,-0.2015
-0.0227,-0.2015
-0.0107,-0.2160
-0.0103,-0.2166
-0.0103,-0.2166
0.0746,-0.3221
0.1596,-0.4274
0.1596,-0.4274
0.1798,-0.4542
0.2001,-0.4809
0.2001,-0.4809
0.3153,-0.4810
0.4305,-0.4808
0.4305,-0.4808
0.3624,-0.3949
0.2941,-0.3091
0.2941,-0.3091
0.2108,-0.2055
0.1273,-0.1020
0.1273,-0.1020
0.0393,0.0090
-0.0488,0.1198
-0.0488,0.1198
-0.0784,0.1538
-0.0954,0.1812
-0.0954,0.1812
-0.1124,0.2085
-0.1094,0.2456
-0.1094,0.2456
-0.1036,0.2855
-0.0783,0.3069
-0.0783,0.3069
-0.0532,0.3283
-0.0147,0.3284
-0.0147,0.3284
0.0237,0.3284
0.0526,0.3010
0.0526,0.3010
0.0814,0.2736
0.0977,0.2263
0.0977,0.2263
0.1761,0.2551
0.2545,0.2840
0.2545,0.2840
0.2441,0.3284
0.2190,0.3683
0.2190,0.3683
0.1938,0.4083
0.1576,0.4371
0.1576,0.4371
0.1213,0.4660
0.0755,0.4830
0.0755,0.4830
0.0296,0.5000
-0.0236,0.5000
-0.0236,0.5000
-0.0769,0.5000
-0.1249,0.4822
-0.1249,0.4822
-0.1731,0.4645
-0.2100,0.4334
-0.2100,0.4334
-0.2470,0.4023
-0.2685,0.3580
-0.2685,0.3580
-0.2899,0.3136
-0.2914,0.2603
-0.2914,0.2603
-0.2929,0.2293
-0.2899,0.2071
-0.2899,0.2071
-0.2870,0.1849
-0.2810,0.1671
-0.2810,0.1671
-0.2810,0.1669
-0.2775,0.1591
-0.2775,0.1591
-0.2741,0.1512
-0.2677,0.1383
-0.2677,0.1383
-0.2613,0.1254
-0.2526,0.1099
-0.2526,0.1099
-0.2439,0.0945
-0.2333,0.0791
-0.2333,0.0791
-0.2329,0.0785
-0.2214,0.0614
-0.2214,0.0614
-0.2099,0.0444
-0.1923,0.0189
-0.1923,0.0189
-0.1748,-0.0066
-0.1563,-0.0325
-0.1563,-0.0325
-0.1378,-0.0585
-0.1235,-0.0770
